L126_140	Kas da benn ar c'hendeuziñ en ur baouez goude pep fazi .	Kas da benn ar c'hendeuziñ en ur baouez goude pep fazi.	# kas dɑ bɛn ar xɛn.'dø.zi en œr 'bɔ.wɛs 'gu.de pep 'fɑ.zi #	1	1	0	Skridoù_PHM.txt		cov-7
L126_152	Koulskoude ne vez frouezh e gwez an trovanoù , nemet e mareoù zo e-pad ar bloaz , evel gant hon hinad kerreizh .	Koulskoude ne vez frouezh e gwez an trovanoù nemet e mareoù zo e-pad ar bloaz, evel gant hon hinad kerreizh.	# kul.'sku.de ne ve:s frwe:z e gwe:z ɑ̃n tro.'vɑ̃.nu # 'ne.med e ma.'re.u zo 'e.pɑd ar blwɑ:s # 'e.vɛl gɑ̃n õn 'hi.nat 'kɛ.rɛjs #	1	1	0	Skridoù_PHM.txt		cov-2
L126_160	Lec'hioù miret evit skeudennoù .	Lec'hioù miret evit skeudennoù.	# 'leh.ju 'mi.rɛd 'e.vit skø.'dɛ.nu #	1	1	0	Skridoù_PHM.txt		cov-6
L126_161	Lec'h Titouriñ Yaouankiz .	Lec'h Titouriñ Yaouankiz.	# lɛx ti.'tu.ri jɔ.'wɑ̃ŋ.kis #	1	1	0	Skridoù_PHM.txt		cov-3
L126_162	Lemel ar vaezienn .	Lemel ar vaezienn.	# 'le.mɛl ar 'vẽ.zjɛn #	1	1	0	Skridoù_PHM.txt		cov-1
L126_163	Levr follennoù-nij keinet .	Levr follennoù-nij keinet.	# lɛwr fɔ.lɛ.'nu.niʒ 'kɛj.nɛt #	1	1	0	Skridoù_PHM.txt		cov-2
L126_172	Ment ar pesked .	Ment ar pesked.	# mɛnd ar 'pe.skɛt #	1	1	0	Skridoù_PHM.txt		cov-4
L126_173	Ment steredeg ar C'harr-kamm Bras ( hanterenn gleiz ) a ro un alberz eus braster an anadenn .	Ment steredeg ar C'harr-kamm Bras (hanterenn gleiz) a ro un alberz eus braster an anadenn.	# mɛn ste.'re.dɛg ar 'xar.kɑ̃m brɑ:s # hɑ̃n.'te.rɛn glɛjs # a ro: œn 'al.bɛrz øs 'brɑ.stɛr ɑ̃n ɑ̃.'nɑ.dɛn #	1	1	0	Skridoù_PHM.txt		cov-1
L126_175	Meur a embregerezh er penn a-raok .	Meur a embregerezh er penn a-raok.	# mø:r a em.breg.'ɛ.rez er pɛn 'a.rɔk #	1	1	0	Skridoù_PHM.txt		cov-6
L126_182	Ne vefe ket Breizh ar rannvro gentañ , o kaout he domani dezhi .	Ne vefe ket Breizh ar rannvro gentañ o kaout he domani dezhi.	# ne 've.fe ket brɛjz ar 'rɑ̃n.vro 'gɛn.tɑ̃ # o kɔwt e do.'mɑ̃.ni 'de.zi #	1	1	0	Skridoù_PHM.txt		cov-5
L126_183	Niver ar c'humunioù eus MEURGÊR ROAZHON , ma'z eus ur c'helenn divyezhek .	Niver ar c'humunioù eus MEURGÊR ROAZHON ma'z eus ur c'helenn divyezhek.	# 'ni.vɛr ar xy.'my.nju øs 'mœrg.ɛr 'rwɑ.zõn # maz øz œr 'xe.lɛn diw.'je.zɛk #	1	1	0	Skridoù_PHM.txt		cov-5
L126_185	Ober seizh .	Ober 7	# 'o.bɛr sɛjs #	1	1	0	Skridoù_PHM.txt		cov-1
L126_186	Oberoù teul .	Oberoù teul.	# o.'bɛ.ru tø:l #	1	1	0	Skridoù_PHM.txt		cov-3
L126_187	Ostilhoù Web .	Ostilhoù Web.	# o.'stiʎ.u wɛb #	1	1	0	Skridoù_PHM.txt		cov-6
L126_188	Ouzhpennet int bet da vaketenn al labouradeg goude .	Ouzhpennet int bet da vaketenn al labouradeg goude.	# uz.'pɛ.nɛd in bet dɑ va.'ke.tɛn al la.bu.'rɑ.dɛk 'gu.de #	1	1	0	Skridoù_PHM.txt		cov-5
L126_191	Pelec'h taoler goloioù pe stouvoù ar podoù hag ar boutailhoù gwer ?	Pelec'h taoler goloioù pe stouvoù ar podoù hag ar boutailhoù gwer ?	# 'pe.lɛx 'tɔ.lɛr go.'lo.ju pe 'stu.vu ar 'po.du ag ar bu.'taʎ.u gwe:r #	1	1	0	Skridoù_PHM.txt		cov-3
L126_195	Pik echu .	Pik echu.	# pig 'eʃ.y #	1	1	0	Skridoù_PHM.txt		cov-6
L126_198	Plijout a ra kenañ da dud Ploueskad , mont di da bourmen .	Plijout a ra kenañ da dud Ploueskad mont di da bourmen.	# 'pli.ʒud a ra 'ke.nɑ̃ dɑ dy:t plu.'e.skat # mõn di dɑ 'bur.mɛn #	1	1	0	Skridoù_PHM.txt		cov-1
L126_201	Poltred maouez .	Poltred maouez.	# 'pɔl.trɛt 'mɔ.wɛs #	1	1	0	Skridoù_PHM.txt		cov-7
L126_211	Setu e produomp a-ratozh-kaer kementadoù bihan anezhe , dezhe da chom dibar un tamm bennak .	Setu e produomp a-ratozh-kaer kementadoù bihan anezhe, dezhe da chom dibar un tamm bennak.	# 'se.ty e pro.'dy.õmb a.ra.'tɔ.skɛr ke.mɛn.'ta.du 'bi.ɑ̃n 'ɑ̃.nɛ # dɛ dɑ ʃɔm 'di.bar œn tɑ̃m 'bɛ.nak #	1	1	0	Skridoù_PHM.txt		cov-4
L126_236	Trolinenn an daolenn .	Trolinenn an daolenn.	# tro.'li.nɛn ɑ̃n 'dɔ.lɛn #	1	1	0	Skridoù_PHM.txt		cov-4
L126_237	Tuadurioù nevez .	Tuadurioù nevez.	# ty.ɑ.'dyr.ju 'ne.ves #	1	1	0	Skridoù_PHM.txt		cov-1
L126_242	Ur gêr feodel en-dro dezhi saonennoù don eo Roc'h-an-Argoed .	Ur gêr feodel en-dro dezhi saonennoù don eo Roc'h-an-Argoed.	# œr gɛr 'fɛw.dɛl 'en.dro 'de.zi sɑ̃w.'nɛ.nu dõ:n ɛw rox.ɑ̃.narg.'o.ɛt #	1	1	0	Skridoù_PHM.txt		cov-4
L127_005	Pemp melestrour , dilennet gant ar C'huzul-kêr , e-touez e izili dezhañ .	5 melestrour dilennet gant ar C'huzul-kêr e-touez e izili dezhañ.	# pɛm me.'lɛ.strur # di.'lɛ.nɛt gɑ̃n ar xy.'zyl.kɛr # 'e.twɛz e i.'zi.li 'de.zɑ̃ #	1	1	0	Skridoù_PHM.txt		cov-1
L127_016	Annez ar straed Anatol ar Braz .	Annez ar straed Anatol ar Braz.	# 'ɑ̃.nɛz ar strɛ:d ɑ̃.'nɑ.tol ar brɑ:s #	1	1	0	Skridoù_PHM.txt		cov-4
L127_027	Ar bobl en Arvor hag en Argoad .	ar bobl en Arvor hag en Argoad.	# ar bɔbl en 'ar.vor ag en 'ar.gwat #	1	1	0	Skridoù_PHM.txt		cov-2
L127_039	Ar porzhioù-mor .	Ar porzhioù-mor.	# ar pɔr.'zju.mor #	1	1	0	Skridoù_PHM.txt		cov-3
L127_042	Belo .	Belo.	# 'be.lo #	1	1	0	Skridoù_PHM.txt		cov-1
L127_046	Bilañs an obererezhioù labelaet kentañ :	Bilañs an obererezhioù labelaet kentañ :	# 'bi.lɑ̃z ɑ̃n o.be.re.'rɛ.zju la.'be.lɛt 'kɛn.tɑ̃ #	1	1	0	Skridoù_PHM.txt		cov-6
L127_047	Bir kleiz .	Bir kleiz.	# bi:r klɛjs #	1	1	0	Skridoù_PHM.txt		cov-4
L127_050	Burev an degemer sokial .	Burev an degemer sokial.	# 'by.rɛw ɑ̃n deg.'e.mɛr so.'ki.al #	1	1	0	Skridoù_PHM.txt		cov-3
L127_056	Deiziadurioù , ha trevelloù .	Deiziadurioù ha trevelloù.	# dɛj.zjɑ.'dyr.ju # a tre.'vɛ.lu #	1	1	0	Skridoù_PHM.txt		cov-7
L127_061	DIHUN ( Kevredigezh tud ar vugale , en deskadurezh divyezhek katolik ) .	DIHUN (Kevredigezh tud ar vugale en deskadurezh divyezhek katolik).	# 'di.yn # ke.vre.'dig.ɛs ty:d ar vyg.'ɑ.le # en de.ska.'dy.rez diw.'je.zɛk ka.'to.lik #	1	1	0	Skridoù_PHM.txt		cov-2
L127_076	Elfenn a-raok .	Elfenn a-raok.	# 'ɛl.fɛn 'a.rɔk #	1	1	0	Skridoù_PHM.txt		cov-7
L127_087	E-pad un abadenn e tremener meur a wech peurliesañ , e-barzh ar saona .	E-pad un abadenn e tremener meur a wech peurliesañ e-barzh ar saona.	# 'e.pɑd œn a.'bɑ.dɛn e tre.'me.nɛr mø:r a weʃ pœr.li.'e.sɑ̃ # 'e.barz ar 'so.na #	1	1	0	Skridoù_PHM.txt		cov-5
L127_088	Eur ar c'hounadur .	Eur ar c'hounadur.	# œ:r ar xu.'nɑ.dyr #	1	1	0	Skridoù_PHM.txt		cov-3
L127_091	Evit ur stummerezh hag a c'hallo an holl , sevel gantañ o hentad dezho , war-zu ar barregezhioù , hag al labour .	Evit ur stummerezh hag a c'hallo an holl sevel gantañ o hentad dezho war-zu ar barregezhioù hag al labour.	# 'e.vid œr sty.'mɛ.rɛs ag a 'xa.lo ɑ̃n ɔl # 'se.vɛl 'gɑ̃n.tɑ̃ o 'hɛn.tat 'de.zo # 'war.zy ar ba.reg.'ɛ.zju # ag al 'lɑ.bur #	1	1	0	Skridoù_PHM.txt		cov-6
L127_094	Formulennoù taolenn kroaziet dinamek .	Formulennoù taolenn kroaziet dinamek.	# fɔr.my.'lɛ.nu 'tɔ.lɛn 'krwa.zjɛt di.'nɑ̃.mɛk #	1	1	0	Skridoù_PHM.txt		cov-1
L127_102	Gallout a ra Ofis ar Brezhoneg skoazellañ ac'hanoc'h , en ur reiñ daveennoù aozerien abadennoù deoc'h .	Gallout a ra Ofis ar Brezhoneg skoazellañ ac'hanoc'h en ur reiñ daveennoù aozerien abadennoù deoc'h.	# 'ga.lud a ra 'o.fiz ar bre.'zõ.nɛk skwa.'zɛ.lɑ̃ ah.'ɑ̃.nɔx # en œr rɛj da.ve.'ɛ.nu o.'zer.jɛn a.bɑ.'dɛ.nu 'de.ɔx #	1	1	0	Skridoù_PHM.txt		cov-7
L127_107	Ganedigezh Breizh .	Ganedigezh Breizh.	# gɑ̃.ne.'dig.ɛs brɛjs #	1	1	0	Skridoù_PHM.txt		cov-6
L127_117	Gwelit ivez peseurt marc'hadourezh a veze kemeret evit eskemm ouzh an danvez sklaved war aodoù Afrika .	Gwelit ivez peseurt marc'hadourezh a veze kemeret evit eskemm ouzh an danvez sklaved war aodoù Afrika.	# 'gwe.lid 'i.ves 'pe.sœrt marx.a.'du.rez a 've.ze ke.'me.rɛd 'e.vid 'e.skɛm uz ɑ̃n 'dɑ̃n.vɛs 'sklɑ.ved war 'ɔ.du a.'fri.ka #	1	1	0	Skridoù_PHM.txt		cov-7
L127_129	Kargoù sokial diseurt all .	Kargoù sokial diseurt all.	# 'karg.u so.'ki.al 'di.sœrd al #	1	1	0	Skridoù_PHM.txt		cov-7
L127_131	Keal : Kenwerzh ar porselen ha kontlec'hioù aziat .	Keal : Kenwerzh ar porselen ha kontlec'hioù aziat.	# 'ke.al # 'kɛ.nwɛrz ar pɔr.'se.lɛn a kõnt.'lɛh.ju a.'zi.at #	1	1	0	Skridoù_PHM.txt		cov-5
L127_146	Lakaat ar gwir da arnodiñ da c'hoari .	Lakaat ar gwir da arnodiñ da c'hoari.	# 'la.kɑd ar gwi:r dɑ ar.'no.di dɑ 'xwɑ.ri #	1	1	0	Skridoù_PHM.txt		cov-1
L127_152	Linennoù goullo dindan al luc'hvannoù .	Linennoù goullo dindan al luc'hvannoù.	# li.'nɛ.nu 'gu.lo 'din.dɑ̃n al lyx.'vɑ̃.nu #	1	1	0	Skridoù_PHM.txt		cov-2
L127_153	Live steuñv .	Live steuñv.	# 'li.ve stœ̃: #	1	1	0	Skridoù_PHM.txt		cov-4
L127_169	Notennoù traoñ pajenn ha notennoù dibenn .	Notennoù traoñ pajenn ha notennoù dibenn.	# no.'tɛ.nu trɑ̃w 'pɑ.ʒɛn a no.'tɛ.nu 'di.bɛn #	1	1	0	Skridoù_PHM.txt		cov-2
L127_179	Peseurt plas evit ar brezhoneg e politikerezh ar rannvroioù ?	Peseurt plas evit ar brezhoneg e politikerezh ar rannvroioù ?	# 'pe.sœrt plaz 'e.vid ar bre.'zõ.nɛg e po.li.ti.'kɛ.rez ar rɑ̃n.'vro.ju #	1	1	0	Skridoù_PHM.txt		cov-4
L127_184	Porzh Naoned e mil nav c'hant pevarzek	Porzh Naoned e 1914	# pɔrs 'nɑ̃w.nɛd e mil naw xɑ̃n pe.'var.zek #	1	1	0	Skridoù_PHM.txt		cov-7
L127_194	Rummadur an traezhennoù .	Rummadur an traezhennoù.	# ry.'mɑ.dyr ɑ̃n trɛ.'zɛ.nu #	1	1	0	Skridoù_PHM.txt		cov-7
L127_195	Saona giz Japan , saona giz an norzh , peseurt diforc'hioù etrezo ?	Saona giz Japan, saona giz an norzh, peseurt diforc'hioù etrezo ?	# 'so.na gi:s 'ʒa.pɑ̃n # 'so.na gi:z ɑ̃n nɔrs # 'pe.sœrt di.'fɔrx.ju e.'tre.zo #	1	1	0	Skridoù_PHM.txt		cov-5
L127_198	Seblantout a ra korf ar soner , bezañ lusket gant ar sonerezh .	Seblantout a ra korf ar soner bezañ lusket gant ar sonerezh.	# se.'blɑ̃n.tud a ra kɔrf ar 'sõ.nɛr # 'be.zɑ̃ 'ly.skɛd gɑ̃n ar sõ.'nɛ.rɛs #	1	1	0	Skridoù_PHM.txt		cov-1
L127_204	Seul zonoc'h ar meurvor , seul zisteroc'h ar mareoù .	Seul zonoc'h ar meurvor, seul zisteroc'h ar mareoù.	# sø:l 'zõ.nɔh ar 'mœr.vor # sø:l zi.'ste.rɔh ar ma.'re.u #	1	1	0	Skridoù_PHM.txt		cov-1
L127_214	Surentez boued .	Surentez boued.	# sy.'rɛn.tɛs bwet #	1	1	0	Skridoù_PHM.txt		cov-2
L127_217	Tammoù eus video ar brezegenn dirak ar gazetennerien , diwar-benn ar re yaouank .	Tammoù eus video ar brezegenn dirak ar gazetennerien diwar-benn ar re yaouank.	# 'tɑ̃.mu øs vi.'de.o ar bre.'zeg.ɛn 'di.rag ar ga.ze.tɛ.'ner.jɛn # di.'war.bɛn ar re: 'jɔ.wɑ̃ŋk #	1	1	0	Skridoù_PHM.txt		cov-3
L127_219	Ti an douristed Kemper Kumuniezh .	Ti an douristed Kemper Kumuniezh.	# ti: ɑ̃n 'durj.stɛt 'kẽm.pɛr ky.my.'ni.ɛs #	1	1	0	Skridoù_PHM.txt		cov-2
L127_228	Un abadenn evit reiñ da bep hini an tu da ziskouez eo tomm ouzh ar brezhoneg .	Un abadenn evit reiñ da bep hini an tu da ziskouez eo tomm ouzh ar brezhoneg.	# œn a.'bɑ.dɛn 'e.vit rɛj dɑ bep 'hi.ni ɑ̃n ty dɑ 'zi.skwɛz ɛw tɔm uz ar bre.'zõ.nɛk #	1	1	0	Skridoù_PHM.txt		cov-7
L127_236	Ur c'hevrin e chom orin ha difluk ar vuhez war an Douar c'hoazh .	Ur c'hevrin e chom orin ha difluk ar vuhez war an Douar c'hoazh.	# œr 'xɛ.vrin e ʃɔm 'o.rin a 'di.flyg ar 'vy.ɛs war ɑ̃n 'du.ar xwas #	1	1	0	Skridoù_PHM.txt		cov-4
L127_242	Ur sanailh .	Ur sanailh.	# œr 'sɑ̃.naʎ #	1	1	0	Skridoù_PHM.txt		cov-1
L128_002	Mil nav c'hant daouzek ha tri-ugent : Bloavezh krouiñ ar Strollad Produerien Holen .	1972 Bloavezh krouiñ ar Strollad Produerien Holen.	# mil naw xɑ̃n 'dɔw.zeg a tri.'yg.ɛnt # 'blwɑ.vɛs 'kru.i ar 'strɔ.lat pro.dy.'er.jɛn 'ho.lɛn #	1	1	0	Skridoù_PHM.txt		cov-3
L128_025	Aozañ un enklask , da c'houzout piv a oar brezhoneg e-touez an implijidi .	aozañ un enklask da c'houzout piv a oar brezhoneg e-touez an implijidi.	# 'o.zɑ̃ œn 'eŋ.klask # dɑ 'xu.zut piw a wɑ:r bre.'zõ.nɛg 'e.twɛz ɑ̃n im.pli.'ʒi.di #	1	1	0	Skridoù_PHM.txt		cov-1
L128_026	APEL skolaj Sant Weltaz .	APEL skolaj Sant Weltaz.	# 'a.pɛl 'sko.laʃ sɑ̃nt 'wɛl.tɑs #	1	1	0	Skridoù_PHM.txt		cov-2
L128_027	Ar Bañsion .	Ar Bañsion.	# ar 'bɑ̃.sjõn #	1	1	0	Skridoù_PHM.txt		cov-5
L128_034	Arouez ar barfeted hag an unvanded eo ivez .	Arouez ar barfeted hag an unvanded eo ivez.	# 'ar.wez ar bar.'fe.tɛd ag ɑ̃n yn.'vɑ̃n.dɛd ɛw 'i.ves #	1	1	0	Skridoù_PHM.txt		cov-7
L128_037	Ar saloñsoù hag ar c'houlzadoù brudañ : lec'hioù eus ar c'hentañ evit kinnig al levrioù .	Ar saloñsoù hag ar c'houlzadoù brudañ : lec'hioù eus ar c'hentañ evit kinnig al levrioù.	# ar sɑ.'lõ.su ag ar xul.'zɑ.du 'bry.dɑ̃ # 'leh.ju øz ar 'xɛn.tɑ̃ 'e.vit 'ki.nig al 'lɛwr.ju #	1	1	0	Skridoù_PHM.txt		cov-5
L128_042	Ar yac'husaat distroll .	Ar yac'husaat distroll.	# ar jah.'y.sɑt 'di.strɔl #	1	1	0	Skridoù_PHM.txt		cov-2
L128_061	Daskemmoù all .	Daskemmoù all.	# da.'skɛ.mu al #	1	1	0	Skridoù_PHM.txt		cov-2
L128_066	Digeriñ un eilenn .	Digeriñ un eilenn.	# dig.'e.ri œn 'ɛj.lɛn #	1	1	0	Skridoù_PHM.txt		cov-1
L128_082	E mil nav c'hant seizh ha daou-ugent , e voe krouet strolladoù nevez e Breizh : ar bagadoù .	E 1947 e voe krouet strolladoù nevez e Breizh : ar bagadoù.	# e mil naw xɑ̃n sɛjs a dɔ.'wyg.ɛnt # e vwe: 'kru.ɛt strɔ.'la.du 'ne.vez e brɛjs # ar bɑg.'a.du #	1	1	0	Skridoù_PHM.txt		cov-1
L128_085	E Karaez-Plougêr .	E Karaez-Plougêr.	# e ka.rɛ.'splug.ɛr #	1	1	0	Skridoù_PHM.txt		cov-7
L128_090	Emsav evit lakaat bevañ ar brezhoneg dre soubidigezh .	Emsav evit lakaat bevañ ar brezhoneg dre soubidigezh.	# 'em.zaw 'e.vit 'la.kɑt 'be.vɑ̃ ar bre.'zõ.nɛk dre su.bi.'dig.ɛs #	1	1	0	Skridoù_PHM.txt		cov-4
L128_099	En un endro heverk .	En un endro heverk…	# en œn 'en.dro 'he.vɛrk #	1	1	0	Skridoù_PHM.txt		cov-3
L128_105	Erlec'hiañ ar furmad .	Erlec'hiañ ar furmad.	# ɛr.'leh.jɑ̃ ar 'fyr.mɑt #	1	1	0	Skridoù_PHM.txt		cov-5
L128_128	Gwagenn doubl ,	Gwagenn doubl.	# 'gwɑg.ɛn dupl #	1	1	0	Skridoù_PHM.txt		cov-2
L128_132	Gwerennoù amailhet , lakaet etre ar gouloù hag ar skramm , a veze o riklañ , e garanoù kenstur .	Gwerennoù amailhet, lakaet etre ar gouloù hag ar skramm, a veze o riklañ e garanoù kenstur.	# gwe.'rɛ.nu ɑ̃.'maʎ.ɛt # 'la.kɛd 'e.tre ar 'gu.lu ag ar skrɑ̃m # a 've.ze o 'ri.klɑ̃ # e gɑ.'rɑ̃.nu 'kɛn.styr #	1	1	0	Skridoù_PHM.txt		cov-2
L128_144	Kejañ a ray an div gostezenn diouzh ezhomm , evit prizañ disoc'hoù o c'henober .	Kejañ a ray an div gostezenn diouzh ezhomm evit prizañ disoc'hoù o c'henober.	# 'ke.ʒɑ̃ a raj ɑ̃n diw gɔ.'ste.zɛn djuz 'e.zõm # 'e.vit 'pri.zɑ̃ di.'soh.u o xɛ.'no.bɛr #	1	1	0	Skridoù_PHM.txt		cov-1
L128_145	Kelaouiñ ha stummañ ar verourien a youl vat .	Kelaouiñ ha stummañ ar verourien a youl vat.	# ke.'lɔ.wi a 'sty.mɑ̃ ar ve.'rur.jɛn a ju:l vat #	1	1	0	Skridoù_PHM.txt		cov-2
L128_151	Kêr Landerne ne ra ket gant produioù fitoyec'hed ken .	Kêr Landerne ne ra ket gant produioù fitoyec'hed ken.	# kɛr lɑ̃n.'dɛr.ne ne ra ket gɑ̃n pro.'dy.ju fi.to.'jeh.ɛt ken #	1	1	0	Skridoù_PHM.txt		cov-6
L128_156	Klikañ war :	Klikañ war :	# 'kli.kɑ̃ war #	1	1	0	Skridoù_PHM.txt		cov-5
L128_157	Klub ar vignoniezh .	Klub ar vignoniezh.	# klœp ar viɲ.õ.'ni.ɛz #	1	1	0	Skridoù_PHM.txt		cov-2
L128_158	Kod keodedel : Lezenn hollek a vod an erbedoù diazez , da verañ ar vuhez sokial .	Kod keodedel : Lezenn hollek a vod an erbedoù diazez da verañ ar vuhez sokial.	# kɔ:t kɛw.'de.dɛl # 'le.zɛn 'ɔ.lɛg a vo:d ɑ̃n ɛr.'be.du di.'ɑ.zɛs # dɑ 've.rɑ̃ ar 'vy.ɛs so.'ki.al #	1	1	0	Skridoù_PHM.txt		cov-2
L128_165	Lennerioù a vo graet eus mekanikoù a c'hall lenn ur skor bennak .	Lennerioù a vo graet eus mekanikoù a c'hall lenn ur skor bennak.	# lɛ.'nɛr.ju a vo grɛ:d øs me.kɑ̃.'ni.ku a xal lɛn œr sko:r 'bɛ.nak #	1	1	0	Skridoù_PHM.txt		cov-7
L128_174	Mellad dek - Ober diouzh ar reolennoù .	Mellad 10 - Ober diouzh ar reolennoù.	# 'mɛ.lat dek # 'o.bɛr djuz ar rɛw.'lɛ.nu #	1	1	0	Skridoù_PHM.txt		cov-1
L128_182	Moarvat ez eo ur skeudenn eus un doueez gant un temz-spered doubl , hini ar vuhez hag ar marv marteze .	Moarvat ez eo ur skeudenn eus un doueez gant un temz-spered doubl, hini ar vuhez hag ar marv marteze.	# 'mwar.vɑd ez ɛw œr 'skø.dɛn øz œn du.'e.ɛs gɑ̃n œn tɛm.'spe.rɛt dupl # 'hi.ni ar 'vy.ɛs ag ar 'mɑ.ro mar.'te.ze #	1	1	0	Skridoù_PHM.txt		cov-7
L128_184	Mouezhiet en dalc'h hollek .	Mouezhiet en dalc'h hollek.	# 'mwe.zjɛd en dalx 'ɔ.lɛk #	1	1	0	Skridoù_PHM.txt		cov-5
L128_187	Ne oa ket un dra gadal pe erotek , pell ac'hano .	Ne oa ket un dra gadal pe erotek, pell ac'hano.	# ne wa ked œn drɑ 'gɑ.dal pe ɛ.'ro.tɛk # pɛl ah.'ɑ̃.no #	1	1	0	Skridoù_PHM.txt		cov-4
L128_201	Pik .	Pik.	# pik #	1	1	0	Skridoù_PHM.txt		cov-4
L128_203	Pouezit war ar bouton ruz en-dro pa vo echu ganeoc'h .	Pouezit war ar bouton ruz en-dro pa vo echu ganeoc'h.	# 'pwe.zid war ar 'bu.tõn ry:z 'en.dro pa vo 'eʃ.y gɑ̃.'ne.ɔx #	1	1	0	Skridoù_PHM.txt		cov-3
L128_207	Prest out ?	Prest out ?	# presd ut #	1	1	0	Skridoù_PHM.txt		cov-7
L128_209	Prometiñ a reomp , war ar pemdez , bezañ strizh evidomp hon-unan , bezañ tud anterin ha reizh .	Prometiñ a reomp, war ar pemdez, bezañ strizh evidomp hon-unan, bezañ tud anterin ha reizh.	# pro.'me.ti a rewmp # war ar 'pɛm.dɛs # 'be.zɑ̃ stri:z e.'vi.dõm õ.'ny.nɑ̃n # 'be.zɑ̃ ty:d ɑ̃n.'te.rin a rɛjs #	1	1	0	Skridoù_PHM.txt		cov-1
L128_228	Setu amañ e c'her-stur :	Setu amañ e c'her-stur :	# 'se.ty 'ɑ̃.mɑ̃ e 'xer.styr #	1	1	0	Skridoù_PHM.txt		cov-3
L128_234	Taolennadurioù dic'hizet ha kontet , abadennoù er straedoù dibunadegoù …	Taolennadurioù dic'hizet ha kontet, abadennoù er straedoù, dibunadegoù…	# tɔ.lɛ.nɑ.'dyr.ju dih.'i.zɛt a 'kõn.tɛt # a.bɑ.'dɛ.nu er 'strɛ.du di.by.nɑ.'dɛg.u #	1	1	0	Skridoù_PHM.txt		cov-7
L128_238	Teulioù hag amplegadoù rekis :	Teulioù hag amplegadoù rekis :	# 'tø.lju ag ɑ̃m.pleg.'a.du 're.kis #	1	1	0	Skridoù_PHM.txt		cov-3
L128_246	Ur c'hastell breizhat .	Ur c'hastell breizhat.	# œr 'xa.stɛl 'brɛj.zat #	1	1	0	Skridoù_PHM.txt		cov-5
L129_001	Kant eizh oberenn ha pevar-ugent savet gant an arzour a zo e dalc'had mirdi an arzoù-kaer .	188 oberenn savet gant an arzour a zo e dalc'had mirdi an arzoù-kaer.	# kɑ̃n ɛjz o.'be.rɛn a pe.va.'ryg.ɛn 'sɑ.vɛt gɑ̃n ɑ̃n 'ar.zur a zo e 'dalh.at 'mir.di ɑ̃n ar.'zu.kɛr #	1	1	0	Skridoù_PHM.txt		cov-5
L129_017	An eil hag egile a enor daou varzh breizhat :	An eil hag egile a enor daou varzh breizhat :	# ɑ̃n ɛjl ag eg.'i.le a 'e.nɔr dɔw vars 'brɛj.zat #	1	1	0	Skridoù_PHM.txt		cov-6
L129_035	Arventennoù an endalc'had enlinenn .	Arventennoù an endalc'had enlinenn.	# ar.vɛn.'tɛ.nu ɑ̃n en.'dalx.ad en.'li.nɛn #	1	1	0	Skridoù_PHM.txt		cov-5
L129_040	Baleadenn noz .	Baleadenn noz.	# ba.le.'ɑ.dɛn no:s #	1	1	0	Skridoù_PHM.txt		cov-1
L129_042	Bevet Frañs .	Bevet Frañs !!	# 'be.vɛt frɑ̃s #	1	1	0	Skridoù_PHM.txt		cov-1
L129_045	Bodad an terkerezh-kêr .	Bodad an terkerezh-kêr.	# 'bo.dad ɑ̃n tɛr.ke.'re.skɛr #	1	1	0	Skridoù_PHM.txt		cov-1
L129_049	Brudañ .	Brudañ.	# 'bry.dɑ̃ #	1	1	0	Skridoù_PHM.txt		cov-3
L129_053	Da anavezout ar c'helenn brezhoneg , adalek ar bugaligoù .	da anavezout ar c'helenn brezhoneg, adalek ar bugaligoù.	# dɑ ɑ̃.na.'ve.zud ar 'xe.lɛn bre.'zõ.nɛk # a.'dɑ.lɛg ar byg.a.'lig.u #	1	1	0	Skridoù_PHM.txt		cov-2
L129_057	Da vevañ e Breizh .	da vevañ e Breizh.	# dɑ 've.vɑ̃ e brɛjs #	1	1	0	Skridoù_PHM.txt		cov-6
L129_066	Diouzh ar mintin e rank ar bugel bezañ gwalc'het , gwisket ha bezañ debret e zijuni gantañ , pa erru .	Diouzh ar mintin e rank ar bugel bezañ gwalc'het, gwisket ha bezañ debret e zijuni gantañ pa erru.	# djuz ar 'min.tin e rɑ̃ŋg ar 'byg.ɛl 'be.zɑ̃ 'gwɑlx.ɛt # 'gwi.skɛt a 'be.zɑ̃ 'de.brɛd e zi.'ʒy.ni 'gɑ̃n.tɑ̃ # pa 'ɛ.ry #	1	1	0	Skridoù_PHM.txt		cov-5
L129_089	Enporzhiañ ur restr .	Enporzhiañ ur restr.	# en.'pɔr.zjɑ̃ œr rɛstr #	1	1	0	Skridoù_PHM.txt		cov-4
L129_116	Henoadvezh uhel ar maen ( Paleolitik uhel ) .	Henoadvezh uhel ar maen (Paleolitik uhel).	# he.'nwad.vez 'y.ɛl ar mẽ:n # pa.le.o.'li.tig 'y.ɛl #	1	1	0	Skridoù_PHM.txt		cov-4
